LA_initialconc	dilu	nbtransfer	finaltime	Ct	At	MMnu	LA	ROS	finstate	exttimeat
0.75	140	5	15	3.74761e+09	90079.6	8.85084e-317	2.1729e-35	5.40665e-16	coex	5
0.8	140	5	15	3.99893e+09	94905.2	1.36824e-316	9.67095e-38	1.08124e-16	coex	5
0.85	140	5	15	4.25025e+09	99515.3	7.49859e-317	4.28969e-40	1.31086e-16	coex	5
0.9	140	5	15	4.50157e+09	103914	1.38858e-316	1.89704e-42	2.05601e-16	coex	5
0.95	140	5	15	4.75288e+09	108104	1.02153e-316	8.36684e-45	-5.24455e-16	coex	5
1	140	5	15	5.00418e+09	112089	8.62057e-317	3.68126e-47	-2.76437e-16	coex	5
0.05	150	5	15	2.1372e+08	2706.08	1.59855e-316	0.0025653	2.97263e-07	coex	5
0.1	150	5	15	4.78157e+08	7841.64	7.57154e-317	2.95473e-05	1.5305e-09	coex	5
0.15	150	5	15	7.28987e+08	13739.4	7.8813e-317	2.04749e-07	6.95654e-12	coex	5
0.2	150	5	15	9.79758e+08	19994.6	7.44126e-317	1.22501e-09	3.15479e-14	coex	5
0.25	150	5	15	1.23052e+09	26343.1	3.93911e-317	6.83468e-12	5.70931e-17	coex	5
0.3	150	5	15	1.48126e+09	32643.2	1.06527e-316	3.6626e-14	2.71335e-16	coex	5
0.35	150	5	15	1.73197e+09	38818.1	1.31873e-316	1.91206e-16	6.92128e-16	coex	5
0.4	150	5	15	1.98265e+09	44826	1.40849e-316	9.80016e-19	-5.69388e-17	coex	5
0.45	150	5	15	2.23331e+09	50644.3	4.38543e-317	4.95497e-21	1.79041e-16	coex	5
0.5	150	5	15	2.48396e+09	56261.7	8.15164e-317	2.47891e-23	-7.0942e-16	coex	5
0.55	150	5	15	2.73458e+09	61673.3	6.75768e-317	1.22975e-25	3.56684e-16	coex	5
0.6	150	5	15	2.9852e+09	66877.9	9.87832e-317	6.05851e-28	-1.52682e-16	coex	5
0.65	150	5	15	3.2358e+09	71876.5	5.03398e-317	2.96759e-30	-2.71483e-17	coex	5
0.7	150	5	15	3.4864e+09	76671.5	8.29619e-317	1.44646e-32	-8.8791e-16	coex	5
0.75	150	5	15	3.73698e+09	81265.6	2.49119e-317	7.02053e-35	-2.88119e-16	coex	5
0.8	150	5	15	3.98757e+09	85662.3	8.60558e-317	3.39492e-37	-2.22275e-16	coex	5
0.85	150	5	15	4.23814e+09	89864.6	8.15583e-317	1.63636e-39	2.53264e-15	coex	5
0.9	150	5	15	4.48871e+09	93875.9	1.07781e-316	7.86456e-42	-9.46461e-17	coex	5
0.95	150	5	15	4.73927e+09	97699.1	1.20182e-316	3.77008e-44	1.48392e-15	coex	5
1	150	5	15	4.98983e+09	101337	9.16499e-317	1.80309e-46	-4.24039e-17	coex	5
0.05	160	5	15	2.12341e+08	2410.37	1.81068e-316	0.00270548	3.15543e-07	coex	5
0.1	160	5	15	4.76959e+08	7009.07	1.49652e-316	3.33962e-05	1.73421e-09	coex	5
0.15	160	5	15	7.27203e+08	12308.4	-2.32536e-317	2.47489e-07	8.43147e-12	coex	5
0.2	160	5	15	9.77348e+08	17949.5	1.55008e-316	1.5871e-09	4.00428e-14	coex	5
0.25	160	5	15	1.22747e+09	23691.7	1.37334e-316	9.50761e-12	2.4593e-16	coex	5
0.3	160	5	15	1.47756e+09	29403.7	1.1191e-316	5.47765e-14	-3.85129e-16	coex	5
0.35	160	5	15	1.72761e+09	35013.1	1.1649e-316	3.07741e-16	3.22198e-16	coex	5
0.4	160	5	15	1.97763e+09	40479.6	1.23135e-316	1.69877e-18	4.81128e-16	coex	5
0.45	160	5	15	2.22763e+09	45780.8	1.57453e-316	9.256e-21	-2.1781e-16	coex	5
0.5	160	5	15	2.4776e+09	50904.9	1.15197e-316	4.99273e-23	2.7375e-16	coex	5
0.55	160	5	15	2.72755e+09	55846.1	8.65916e-317	2.67153e-25	1.65467e-16	coex	5
0.6	160	5	15	2.97749e+09	60602.5	9.59153e-317	1.4201e-27	-7.56984e-16	coex	5
0.65	160	5	15	3.22741e+09	65174	8.94371e-317	7.50738e-30	-2.08793e-15	coex	5
0.7	160	5	15	3.47732e+09	69562.2	7.1392e-317	3.95023e-32	-1.13039e-15	coex	5
0.75	160	5	15	3.72723e+09	73769.3	1.54795e-316	2.07016e-34	-2.64684e-16	coex	5
0.8	160	5	15	3.97712e+09	77797.6	1.04328e-316	1.08107e-36	7.51834e-16	coex	5
0.85	160	5	15	4.22701e+09	81650	1.32812e-316	5.62804e-39	1.2068e-15	coex	5
0.9	160	5	15	4.47689e+09	85328.9	8.60644e-317	2.92189e-41	-5.7495e-16	coex	5
0.95	160	5	15	4.72677e+09	88837	1.08545e-316	1.51321e-43	1.27587e-15	coex	5
1	160	5	15	4.97664e+09	92176.6	1.09818e-316	7.81929e-46	-2.30637e-16	coex	5
0.05	170	5	15	2.11043e+08	2162.84	5.48901e-318	0.00284009	3.3328e-07	coex	5
0.1	170	5	15	4.75859e+08	6307.97	6.35027e-317	3.73716e-05	1.94513e-09	coex	5
0.15	170	5	15	7.25566e+08	11098.7	9.63599e-317	2.94621e-07	1.00579e-11	coex	5
0.2	170	5	15	9.75136e+08	16215.1	9.34743e-317	2.01432e-09	5.20435e-14	coex	5
0.25	170	5	15	1.22467e+09	21437.4	1.09002e-316	1.28869e-11	-1.45366e-15	coex	5
0.3	170	5	15	1.47416e+09	26643.9	1.03652e-316	7.93946e-14	-6.11672e-17	coex	5
0.35	170	5	15	1.72361e+09	31766.3	9.24571e-317	4.77455e-16	-3.82118e-16	coex	5
0.4	170	5	15	1.97301e+09	36765.8	7.91863e-317	2.82338e-18	2.69091e-16	coex	5
0.45	170	5	15	2.22239e+09	41620.6	7.18645e-317	1.64897e-20	-1.08553e-16	coex	5
0.5	170	5	15	2.47174e+09	46318.3	1.00471e-316	9.53896e-23	-1.15337e-16	coex	5
0.55	170	5	15	2.72106e+09	50852.8	3.33597e-317	5.47611e-25	3.1822e-16	coex	5
0.6	170	5	15	2.97037e+09	55221.2	9.87252e-317	3.12413e-27	-4.86199e-16	coex	5
0.65	170	5	15	3.21966e+09	59423	1.50825e-316	1.77304e-29	-1.29843e-16	coex	5
0.7	170	5	15	3.46895e+09	63459	1.37267e-316	1.00179e-31	8.34725e-16	coex	5
0.75	170	5	15	3.71821e+09	67330.7	1.29616e-316	5.63858e-34	2.42783e-16	coex	5
0.8	170	5	15	3.96747e+09	71039.9	9.12602e-317	3.16308e-36	8.32977e-16	coex	5
0.85	170	5	15	4.21673e+09	74588.9	1.11343e-316	1.76917e-38	-2.89511e-16	coex	5
0.9	170	5	15	4.46597e+09	77979.7	1.09894e-316	9.86936e-41	1.4939e-16	coex	5
0.95	170	5	15	4.71521e+09	81214.5	9.52152e-317	5.49272e-43	8.07996e-16	coex	5
1	170	5	15	4.96444e+09	84295.3	1.26102e-316	3.05046e-45	3.32351e-16	coex	5
0.05	180	5	15	2.09817e+08	1953.42	5.27997e-318	0.00296953	3.50507e-07	coex	5
0.1	180	5	15	4.74842e+08	5711.68	1.12721e-316	4.14613e-05	2.16261e-09	coex	5
0.15	180	5	15	7.24057e+08	10066.1	1.08007e-316	3.46122e-07	1.18405e-11	coex	5
0.2	180	5	15	9.73095e+08	14730.5	2.69002e-317	2.5112e-09	6.37186e-14	coex	5
0.25	180	5	15	1.22209e+09	19503.3	9.52765e-317	1.70774e-11	1.19377e-15	coex	5
0.3	180	5	15	1.47102e+09	24271.6	9.23716e-317	1.11979e-13	6.04461e-16	coex	5
0.35	180	5	15	1.7199e+09	28971	9.21683e-317	7.17433e-16	1.94463e-15	coex	5
0.4	180	5	15	1.96874e+09	33564.5	1.31412e-316	4.52335e-18	2.54445e-16	coex	5
0.45	180	5	15	2.21754e+09	38030.6	9.10318e-317	2.8185e-20	-1.89018e-17	coex	5
0.5	180	5	15	2.46631e+09	42356.8	8.28132e-317	1.74035e-22	4.99461e-17	coex	5
0.55	180	5	15	2.71505e+09	46536.5	1.11219e-316	1.06689e-24	-3.31138e-16	coex	5
0.6	180	5	15	2.96378e+09	50566.4	8.86342e-317	6.50191e-27	-3.85281e-17	coex	5
0.65	180	5	15	3.21248e+09	54445.5	9.77863e-317	3.94292e-29	-4.01934e-16	coex	5
0.7	180	5	15	3.46117e+09	58173.9	8.10332e-317	2.38106e-31	8.62518e-16	coex	5
0.75	180	5	15	3.70985e+09	61752.6	9.74956e-317	1.43269e-33	1.30628e-15	coex	5
0.8	180	5	15	3.95852e+09	65183	1.44964e-316	8.59325e-36	-4.88144e-17	coex	5
0.85	180	5	15	4.20718e+09	68466.8	9.71001e-317	5.13986e-38	2.5885e-16	coex	5
0.9	180	5	15	4.45583e+09	71605.7	8.81082e-317	3.06665e-40	-2.94311e-16	coex	5
0.95	180	5	15	4.70447e+09	74601.5	1.43564e-316	1.82562e-42	6.58116e-17	coex	5
1	180	5	15	4.95311e+09	77455.9	8.20988e-317	1.08463e-44	-4.90765e-16	coex	5
0.05	190	5	15	2.08655e+08	1774.56	1.73095e-317	0.00309418	3.67255e-07	coex	5
0.1	190	5	15	4.73897e+08	5200	1.10701e-316	4.56542e-05	2.38606e-09	coex	5
0.15	190	5	15	7.22659e+08	9177.25	5.68252e-317	4.01956e-07	1.37771e-11	coex	5
0.2	190	5	15	9.71202e+08	13449.1	1.00695e-316	3.08202e-09	7.82952e-14	coex	5
0.25	190	5	15	1.21969e+09	17830.4	8.24035e-317	2.21868e-11	2.07373e-16	coex	5
0.3	190	5	15	1.4681e+09	22216	8.43368e-317	1.54197e-13	2.36088e-16	coex	5
0.35	190	5	15	1.71646e+09	26545.5	7.16242e-317	1.04813e-15	-8.88902e-16	coex	5
0.4	190	5	15	1.96476e+09	30783.2	8.9024e-317	7.01663e-18	5.67233e-16	coex	5
0.45	190	5	15	2.21303e+09	34908.3	4.53332e-317	4.64505e-20	-5.31313e-16	coex	5
0.5	190	5	15	2.46126e+09	38908.3	1.00938e-316	3.04885e-22	-1.10461e-15	coex	5
0.55	190	5	15	2.70946e+09	42776.4	1.1044e-316	1.9876e-24	-8.08989e-16	coex	5
0.6	190	5	15	2.95764e+09	46508.8	4.27248e-317	1.28857e-26	-4.73017e-16	coex	5
0.65	190	5	15	3.20579e+09	50104.1	9.04494e-317	8.31523e-29	-8.65703e-16	coex	5
0.7	190	5	15	3.45393e+09	53561.8	1.3892e-316	5.34473e-31	-2.44266e-16	coex	5
0.75	190	5	15	3.70206e+09	56882.7	1.06016e-316	3.42372e-33	-2.12655e-16	coex	5
0.8	190	5	15	3.95017e+09	60067.6	8.97021e-317	2.18664e-35	3.79473e-16	coex	5
0.85	190	5	15	4.19828e+09	63117.9	9.03752e-317	1.39288e-37	7.23974e-16	coex	5
0.9	190	5	15	4.44637e+09	66035	9.76394e-317	8.85178e-40	1.801e-17	coex	5
0.95	190	5	15	4.69446e+09	68820.3	1.39567e-316	5.61351e-42	-1.53359e-16	coex	5
1	190	5	15	4.94254e+09	71475.1	1.30625e-316	3.55314e-44	1.2193e-17	coex	5
0.05	200	5	15	2.0755e+08	1620.48	-2.31764e-317	0.00321437	3.83553e-07	coex	5
0.1	200	5	15	4.73016e+08	4757.41	9.73945e-317	4.99406e-05	2.61494e-09	coex	5
0.15	200	5	15	7.21357e+08	8406.23	9.90088e-317	4.62077e-07	1.58663e-11	coex	5
0.2	200	5	15	9.6944e+08	12334.9	5.92461e-317	3.73075e-09	9.48739e-14	coex	5
0.25	200	5	15	1.21745e+09	16372.8	1.48042e-316	2.83254e-11	4.88086e-16	coex	5
0.3	200	5	15	1.46538e+09	20422.1	1.34561e-316	2.07884e-13	-4.95423e-16	coex	5
0.35	200	5	15	1.71325e+09	24425.7	9.64738e-317	1.49364e-15	-1.75236e-16	coex	5
0.4	200	5	15	1.96105e+09	28349.7	3.47525e-317	1.05774e-17	-2.89023e-16	coex	5
0.45	200	5	15	2.20882e+09	32173.8	6.37052e-317	7.412e-20	-4.12717e-16	coex	5
0.5	200	5	15	2.45654e+09	35885.6	8.25764e-317	5.15224e-22	-5.64188e-16	coex	5
0.55	200	5	15	2.70423e+09	39478.1	1.11054e-316	3.55867e-24	-4.8421e-16	coex	5
0.6	200	5	15	2.9519e+09	42947.3	8.64234e-317	2.44525e-26	9.92078e-17	coex	5
0.65	200	5	15	3.19954e+09	46291.2	1.55182e-316	1.67291e-28	-1.45774e-16	coex	5
0.7	200	5	15	3.44716e+09	49509.4	1.02181e-316	1.1403e-30	1.62571e-15	coex	5
0.75	200	5	15	3.69477e+09	52601.8	8.50611e-317	7.74784e-33	-5.93514e-17	coex	5
0.8	200	5	15	3.94236e+09	55569.2	1.06286e-316	5.24968e-35	1.04199e-15	coex	5
0.85	200	5	15	4.18995e+09	58412.5	1.01314e-316	3.54825e-37	-6.70339e-16	coex	5
0.9	200	5	15	4.43752e+09	61132.8	8.97794e-317	2.39299e-39	-4.80979e-16	coex	5
0.95	200	5	15	4.68508e+09	63731.4	1.54657e-316	1.61068e-41	-1.18818e-16	coex	5
1	200	5	15	4.93263e+09	66209.3	1.47614e-316	1.08218e-43	3.48648e-16	coex	5
